"categorieSetId","categorieId","title","categorieSetNumber"
"251","4","Fertigungsverfahren","4.3"
"252","4","Umformen","4.3.1"
"253","4","Trennen, Urformen (z.B.Giessen),diverse","4.3.2"
"254","4","Nichteisenmetalle","4.4"
"255","4","Kupfer","4.4.1"
"256","4","Zink, Zinn, Nickel, Blei","4.4.3"
"257","4","Silber, Gold, Wolfram, Quecksilber, Kadmium","4.4.4"
"258","4","Halbleiterwerkstoffe","4.5"
"259","4","Stromleitung, Werkstoffe","4.5.1"
"260","4","Legierungen","4.6"
"261","4","Allgemeines, Kupfer, Aluminium","4.6.1"
"262","4","Widerstände","4.6.2"
"263","4","Kontaktwerkstoffe","4.6.4"
"264","4","Isolierstoffe","4.7"
"265","4","Anforderungen","4.7.1"
"266","4","Anorganische Werkstoffe","4.7.2"
"267","4","Organische Werkstoffe, Diverse","4.7.3"
"268","4","Kunststoffe","4.8"
"269","4","Eigenschaften, Verwendung, Aufbau","4.8.1"
"270","4","Thermo-, Elasto-, Duroplaste","4.8.2"
"271","4","Entsorgung","4.9"
"272","4","Werkstoffe und Apparate","4.9.1"
"273","9","Arbeitssicherheit","9"
"274","9","Unfallverhütung","9.1"
"275","9","Persönliche Schutzausrüstung PSA","9.1.1"
"276","9","Leitern und Gerüste","9.1.2"
"277","9","Handwerkzeuge","9.1.3"
"278","9","Heben und Tragen","9.1.4"
"279","9","Gifte und gesundheitsgefährdende Stoffe","9.1.5"
"280","9","Verbots-, Gebots- und Warnzeichen","9.1.6"
"281","9","Sicherer Umgang mit Strom","9.2"
"282","9","Unfallbeispiele, Massnahmen","9.3.2"
"283","9","Erste Hilfe","9.3"
"284","NIL","VOID","VOID"
"285","NIL","VOID","VOID"
"286","NIL","VOID","VOID"
"287","NIL","VOID","VOID"
"288","NIL","VOID","VOID"
"289","9","Gefahren , Schutzmassnahmen","9.2.1"
"290","NIL","VOID","VOID"
"291","NIL","VOID","VOID"
"292","NIL","VOID","VOID"
"293","NIL","VOID","VOID"
"294","9","Vorgehen bei Notfällen","9.3.1"
"295","NIL","VOID","VOID"
"296","NIL","VOID","VOID"
"297","3","Gesundheit und Umweltschutz","3.4"
"298","3","Gifte Entsorgung","3.4.1"
"299","NIL","VOID","VOID"
"300","4","Aluminium, Magnesium","4.4.2"
"301","4","Lote, Hartmetalle","4.6.3"
"302","4","Magnetwerkstoffe","4.6.5"
"303","10","Vorbereitung Qualifikationsverfahren","10"
"304","3","Korrosion, Reduktion","3.2.5"
"305","10","Elektrotechnik","10.1"
"306","7","Gliederung der NIN, Symbole","7.1.1"
"307","NIL","VOID","VOID"
"308","7","Leiter, Leitungen Überstromunterbrecher","7.4.2"
"309","7","Begriffe","7.4.3"
"310","7","Äussere Einflüsse","7.7"
"311","7","Raumarten, Einteilung der äusseren Einflüsse","7.7.1"
"312","7","Schutzart nach IP-System","7.7.2"
"313","7","Kennzeichnung von Betriebsmitteln","7.7.3"
"314","NIL","VOID","VOID"
"315","7","Schutz gegen elektrischen Schlag","7.8"
"316","7","Erder und Schutzleiter","7.9"
"317","7","Schutz gegen thermische Einflüsse","7.10"
"318","7","Überstromschutz","7.11"
"319","7","Schutz gegen Über- und Unterspannung","7.12"
"320","7","Installationsnormen NIN 2015","7"
"321","7","Allgemeines","7.1"
"322","7","Gesetze, Normen, Regeln der Technik","7.1.2"
"323","NIL","VOID","VOID"
"324","NIL","VOID","VOID"
"325","7","Gefahren der Elektrizität","7.2"
"326","7","Elektrounfälle, Arbeiten unter Spannung","7.2.1"
"327","7","Wirkungen des Stromes, Erste Hilfe","7.2.2"
"328","7","Arbeiten an Elektroinstallationen","7.3"
"329","7","Installationsbewilligung, Fachkundigkeit","7.3.1"
"330","7","Installationsarbeiten und Kontrolle","7.3.2"
"332","7","Geltungsbereich, Vorschriften Dritter","7.3.4"
"333","7","Begriffsbestimmungen","7.4"
"334","7","Spannungen und Ströme","7.4.1"
"335","7","Aufteilung in Stromkreise","7.5"
"336","7","Grundsatz","7.5.1"
"337","NIL","VOID","VOID"
"338","NIL","VOID","VOID"
"339","7","Stromversorgung für Sicherheitszwecke","7.6"
"340","7","Allgemeines","7.6.1"
"341","NIL","VOID","VOID"
"342","NIL","VOID","VOID"
"343","NIL","VOID","VOID"
"344","NIL","VOID","VOID"
"345","NIL","VOID","VOID"
"346","NIL","VOID","VOID"
"347","NIL","VOID","VOID"
"348","NIL","VOID","VOID"
"349","NIL","VOID","VOID"
"350","NIL","VOID","VOID"
"351","NIL","VOID","VOID"
